id,title,vote_average,release_date,runtime,original_language,overview,poster_path,genres
955,Mission: Impossible II,6.119,2000-05-24,123,en,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",/7us8nE3ldE0gX2cziUz4tKg0Go0.jpg,"Adventure, Action, Thriller"
4011,Beetlejuice,7.384,1988-03-30,92,en,"After an untimely death, a newly dead New England couple seek help from a deranged demon exorcist to scare an affluent New York family out of their home.",/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,"Fantasy, Comedy"
11688,The Emperor's New Groove,7.551,2000-12-15,78,en,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,"Adventure, Animation, Comedy, Family, Fantasy"
170,28 Days Later,7.202,2002-10-31,113,en,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",/sQckQRt17VaWbo39GIu0TMOiszq.jpg,"Horror, Thriller, Science Fiction"
296,Terminator 3: Rise of the Machines,6.145,2003-07-02,109,en,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",/qAnafzrd9Y5pVTWAP0tSDDMPzTR.jpg,"Action, Thriller, Science Fiction"
293863,The Age of Adaline,7.469,2015-04-16,112,en,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",/MbILysGhjAbnZi1Okae9wYqLMx.jpg,"Romance, Fantasy, Drama"
3131,Gangs of New York,7.318,2002-12-14,168,en,"In 1863, Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,"Drama, History, Crime"
439079,The Nun,5.9,2018-09-05,96,en,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,"Horror, Mystery, Thriller"
100,"Lock, Stock and Two Smoking Barrels",8.126,1998-08-28,105,en,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,/8kSerJrhrJWKLk1LViesGcnrUPE.jpg,"Comedy, Crime"
53182,300: Rise of an Empire,6.093,2014-03-05,102,en,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"Action, Drama, War"
47964,A Good Day to Die Hard,5.3,2013-02-06,98,en,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",/evxtv4e8Amm436Y5rW16RkGu8pX.jpg,"Action, Thriller"
508,Love Actually,7.1,2003-09-07,135,en,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,"Comedy, Romance, Drama"
238636,The Purge: Anarchy,6.649,2014-07-17,104,en,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",/f2HD5iVhJWWv72QVWThUKk09zYy.jpg,"Horror, Thriller"
322,Mystic River,7.746,2003-03-03,138,en,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,/1tyi6RZzbJ9bE0g0GUf6Q7BWLvv.jpg,"Thriller, Crime, Drama, Mystery"
241259,Alice Through the Looking Glass,6.55,2016-05-25,113,en,Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.,/4g043PWVXkjHkxEEsEfwuAxlM8i.jpg,"Adventure, Family, Fantasy"
11631,Mamma Mia!,6.966,2008-07-03,108,en,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg,"Comedy, Romance"
334533,Captain Fantastic,7.912,2016-07-08,118,en,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,/2sFME73GaD8UsUxPUKe60cPdLif.jpg,"Adventure, Drama"
534,Terminator Salvation,6.0,2009-05-20,115,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,"Action, Science Fiction, Thriller"
7345,There Will Be Blood,8.085,2007-12-26,158,en,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,Drama
364,Batman Returns,6.913,1992-06-19,126,en,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg,"Action, Fantasy"
43074,Ghostbusters,5.371,2016-07-14,117,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,"Action, Fantasy, Comedy"
